Id,Designation,Designator,Package,Quantity,Designation,Supplier and ref
1,32.768KHz Crystal,X1,Through hole,1,CRYSTAL,
2,10K Trim Pot ,"RV1,RV3",RM-065-103,2,TS,
4,USB Type B Right angle Female ,J1,USB type B Through hole,1,USB_2,
5,DC Power Jack,K4,Through hole,1,CONN_3,
6,,U7,40tex-Ell600,1,AT89S52,
7,10K Resistor Array ( 9 pin),"RR6,RR4,RR2,RR3",SIL-9 TH,4,RR8,
8,"1K Resistor, 5% , 0.25W","R8,R7,R6,R5,R4,R3,R9,R10,R12",Through hole,9,1K,
9,0.1uF Capacitor (Disc),"C3,C4",Through hole,2,0.1uF,
11,22pF Capacitor (Disc),"C12,C11",Through hole,2,22pF,
12,100uF/25V Capacitor,C2,"Electrolytic , TH",1,"100uF, 25V",
13,1000uF/25V Capacitor,C1,"Electrolytic , TH",1,"1000uF, 25V",
14,IN4007 Diode,"D6,D5",Through hole,2,1N40XX,
15,16 Pin IC Base,IC1,DIP 16,1,L293D,
17,RED LED,"D3,D13,D12,D11,D10,D9,D8,D7,D14,D15,D2,D4",LED-5MM,12,LED,
18,"470E Resistor, 5% , 0.25W","R2,R16,R27",Through hole,3,470,
19,"10K Resistor, 5% , 0.25W","R1,R17",Through hole,2,10K,
20,"2.2K Resistor, 5% , 0.25W",R19,Through hole,1,2.2K,
21,"220E Resistor, 5% , 0.25W",R18,Through hole,1,220,
22,LM35 Sensor,RV2,TO-92,1,POT,
23,3Pin Male  header,K3,Through hole,1,I2C,
24,5Pin Male  header,"P3,P2,P1",Through hole,3,CONN_5,
25,8Pin Male  header,"P12,P10,P9,P8,P7,P17,P16",SIL-8,7,CONN_8,
26,,JP7,SIL-8,1,led array,
27,,SW18,SW_PUSH-12mm,1,SPST,
28,,D1,W005M_XL,1,BRIDGE,
29,,S1,SparkFun-DIPSWITCH-08,1,SW_DIP-8,
30,,LCD1,lcd_2x16_led_backlight-HY-1602F,1,LCD_2X16_SIL,
31,,"AFF1,AFF2,AFF3,AFF4",SparkFun-7-SEGMENT-DISPLAY,4,LTS-6960HR,
32,,"P4,P6,P14,P15,P19",1pin,5,CONN_1,
33,,X3,HC-49V,1,11.0592MHz,
34,,SW3,SW_PUSH_SMALL_2pin_xl,1,D,
35,,SW2,SW_PUSH_SMALL_2pin_xl,1,C,
36,,SW4,SW_PUSH_SMALL_2pin_xl,1,E,
37,,SW5,SW_PUSH_SMALL_2pin_xl,1,F,
38,,SW6,SW_PUSH_SMALL_2pin_xl,1,9,
39,,SW7,SW_PUSH_SMALL_2pin_xl,1,0,
40,,SW8,SW_PUSH_SMALL_2pin_xl,1,A,
41,,SW9,SW_PUSH_SMALL_2pin_xl,1,B,
42,,SW10,SW_PUSH_SMALL_2pin_xl,1,5,
43,,SW11,SW_PUSH_SMALL_2pin_xl,1,6,
44,,SW12,SW_PUSH_SMALL_2pin_xl,1,7,
45,,SW13,SW_PUSH_SMALL_2pin_xl,1,8,
46,,SW14,SW_PUSH_SMALL_2pin_xl,1,1,
47,,SW15,SW_PUSH_SMALL_2pin_xl,1,2,
48,,SW16,SW_PUSH_SMALL_2pin_xl,1,3,
49,,SW17,SW_PUSH_SMALL_2pin_xl,1,4,
50,,SW19,SW_PUSH_SMALL_2pin_xl,1,INT0,
51,,SW20,SW_PUSH_SMALL_2pin_xl,1,INT1,
52,,SW1,SPSPT_XL,1,SPST,
53,,U1,LM78XX_v1_XL1,1,7805,
54,,"K2,K1",XL-RELAY-12,2,RELAYPTH,
55,,SG1,BUZ3-5,1,BUZZERPTH,
56,,Q1,TO92,1,BC557,
57,,R11,R4,1,4.7K,
58,,R13,R4,1,100,
59,,U10,cp2102_xl2,1,CP2102,
60,,C7,C1,1,0.1uf,
61,,"Q8,Q7,Q5,Q4,Q6,Q2,Q3",TO92-EBC,7,BC548,
62,,P18,SIL-7,1,CONN_7,
63,,R15,R4,1,3.3K,
64,,R26,R4,1,R,
65,,R20,R4,1,2.2k,
66,,R14,R4,1,3.3k,
67,,"R24,R23,R22,R21",R4,4,68,
68,,R25,C1,1,LDR,
69,,F1,C1,1,FUSE,
70,,JP10,SIL-8,1,LCD_Data,
71,,"JP9,JP8",bornier2,2,m1,
72,,P5,VASCH5x2,1,CONN_5X2,
73,,D2,LED-5MM,1,RL1,
74,,U2,DIP-8__300_ELL,1,24C16,
75,,U3,DIP-8__300_ELL,1,DS1307,
76,,U4,BATT_rtc_XL,1,BATTERY,
77,,JP4,SIL-8,1,SWITCH_ARRAY,
78,,"JP2,JP3",bornier3,2,M03-SCREW-5MM,
79,,JP11,SIL-3,1,LCD_ctrl,
80,,JP5,SIL-8,1,MATRIX 4X4,
81,,P11,SIL-4,1,CONN_4,
82,,JP1,SIL-2,1,RELAY,
83,,JP6,SIL-4,1,MOTAR CNTRL,
84,,U6,DIP-28__600_ELL,1,ADC0808,
85,,U5,DIP-8__300_ELL,1,LM555N_XL,
86,,P13,SIL-1,1,CONN_1,
87,,F2,SM1206,1,FUSE,
88,,D16,D4,1,DIODE,
89,,LOGO,LOGO (1),1,,
90,,"REF**,REF**,REF**",1pin,3,1pin,
